ev_id,arrival_period_raw,departure_period_raw,arrival_slot,departure_slot,departure_slot_exclusive,available_periods
775,1,55,0,53,54,54
776,1,55,0,53,54,54
777,1,55,0,53,54,54
778,1,55,0,53,54,54
779,1,55,0,53,54,54
780,1,55,0,53,54,54
781,1,55,0,53,54,54
782,1,55,0,53,54,54
783,1,55,0,53,54,54
784,1,55,0,53,54,54
785,1,55,0,53,54,54
786,1,55,0,53,54,54
787,1,55,0,53,54,54
788,1,55,0,53,54,54
789,1,55,0,53,54,54
790,1,55,0,53,54,54
791,1,55,0,53,54,54
792,1,55,0,53,54,54
793,1,55,0,53,54,54
794,1,55,0,53,54,54
795,1,55,0,53,54,54
796,1,55,0,53,54,54
797,1,55,0,53,54,54
798,1,55,0,53,54,54
799,1,55,0,53,54,54
800,1,55,0,53,54,54
801,1,55,0,53,54,54
802,1,55,0,53,54,54
803,1,55,0,53,54,54
804,1,55,0,53,54,54
805,1,55,0,53,54,54
806,1,55,0,53,54,54
807,1,55,0,53,54,54
808,1,55,0,53,54,54
809,1,55,0,53,54,54
810,1,55,0,53,54,54
811,1,55,0,53,54,54
812,1,55,0,53,54,54
813,1,55,0,53,54,54
814,1,55,0,53,54,54
815,1,55,0,53,54,54
816,1,55,0,53,54,54
817,1,55,0,53,54,54
818,1,55,0,53,54,54
819,1,55,0,53,54,54
820,1,55,0,53,54,54
821,1,55,0,53,54,54
822,1,55,0,53,54,54
823,1,55,0,53,54,54
824,1,55,0,53,54,54
825,1,55,0,53,54,54
826,1,55,0,53,54,54
827,1,55,0,53,54,54
828,1,55,0,53,54,54
829,1,55,0,53,54,54
830,1,55,0,53,54,54
831,1,55,0,53,54,54
832,1,55,0,53,54,54
833,1,55,0,53,54,54
834,1,55,0,53,54,54
835,1,55,0,53,54,54
836,1,55,0,53,54,54
837,1,55,0,53,54,54
838,1,55,0,53,54,54
839,1,55,0,53,54,54
840,1,55,0,53,54,54
841,1,55,0,53,54,54
842,1,55,0,53,54,54
843,1,55,0,53,54,54
844,1,55,0,53,54,54
845,1,55,0,53,54,54
846,1,55,0,53,54,54
847,1,55,0,53,54,54
848,1,55,0,53,54,54
849,1,55,0,53,54,54
850,1,55,0,53,54,54
851,1,55,0,53,54,54
852,1,55,0,53,54,54
853,1,55,0,53,54,54
854,1,55,0,53,54,54
855,1,55,0,53,54,54
856,1,55,0,53,54,54
857,1,55,0,53,54,54
858,1,55,0,53,54,54
859,1,55,0,53,54,54
860,1,55,0,53,54,54
861,1,55,0,53,54,54
862,1,55,0,53,54,54
863,1,55,0,53,54,54
864,1,55,0,53,54,54
865,1,55,0,53,54,54
866,1,55,0,53,54,54
867,1,55,0,53,54,54
868,1,55,0,53,54,54
869,1,55,0,53,54,54
870,1,55,0,53,54,54
871,1,55,0,53,54,54
